prefix,total_count,entropy,max_byte,max_count,nz
0a0ae696,4,0,b0,4,255
0a0ae696b0,4,0,e9,4,255
0a0ae696b0e9,2,0,87,2,255
0a0ae696b0e987,2,0,8e,2,255
0a0ae696b0e9878e,2,1,e5,1,254
0a0ae696b0e9878ee5,1,0,ba,1,255
0a0ae696b0e9878ee8,1,0,b6,1,255
0a0ae698,2,0,94,2,255
0a0ae69894,2,0,e6,2,255
0a0ae69894e6,1,0,9c,1,255
0a0ae69894e69c,1,0,89,1,255
0a0ae69894e69c89,1,0,e4,1,255
0a0ae69894e69c89e4,1,0,b8,1,255
0a0ae699,42,0,89,42,255
0a0ae69989,42,1.37789,e5,28,252
0a0ae69989e4,1,0,b8,1,255
0a0ae69989e4b8,1,0,ad,1,255
0a0ae69989e4b8ad,1,0,e8,1,255
0a0ae69989e4b8ade8,1,0,88,1,255
0a0ae69989e5,14,1.95021,a4,8,250
0a0ae69989e585,1,0,83,1,255
0a0ae69989e58583,1,0,e7,1,255
0a0ae69989e58583e7,1,0,86,1,255
0a0ae69989e58d,2,0,87,2,255
0a0ae69989e58d87,2,0,e5,2,255
0a0ae69989e58d87e5,2,0,b9,2,255
0a0ae69989e592,1,0,b8,1,255
0a0ae69989e592b8,1,0,e5,1,255
0a0ae69989e592b8e5,1,0,ba,1,255
0a0ae69989e5a4,8,0.543564,aa,7,254
0a0ae69989e5a4a7,1,0,e5,1,255
0a0ae69989e5a4a7e5,1,0,8f,1,255
0a0ae69989e5a4aa,7,0,e5,7,255
0a0ae69989e5a4aae5,7,1.14883,85,5,253
0a0ae69989e5ad,1,0,9d,1,255
0a0ae69989e5ad9d,1,0,e6,1,255
0a0ae69989e5ad9de6,1,0,ad,1,255
0a0ae69989e5ae,1,0,89,1,255
0a0ae69989e5ae89,1,0,e5,1,255
0a0ae69989e5ae89e5,1,0,b8,1,255
0a0ae69989e6,4,1.5,99,2,253
0a0ae69989e699,2,0,82,2,255
0a0ae69989e69982,2,0,ef,2,255
0a0ae69989e69982ef,2,0,bc,2,255
0a0ae69989e6b0,1,0,b8,1,255
0a0ae69989e6b0b8,1,0,e5,1,255
0a0ae69989e6b0b8e5,1,0,98,1,255
0a0ae69989e6b7,1,0,ae,1,255
0a0ae69989e6b7ae,1,0,e5,1,255
